Feature,VIF
jumlah_tempat_tidur,38.164786278363835
jumlah_jenis_layanan,45.43247380372921
jumlah_tenaga_kerja,20.177587495588917
tingkat_keterisian_tempat_tidur_persen,31.079916551185285
kunjungan_pasien_per_bulan,25.220413556485898
rasio_adopsi_telemedicine,4.697948602871951
digital_gap_score,4.810164334115304
jumlah_perangkat_iot,8.778013242621745
jumlah_staf_it,6.241357468788176
anggaran_it_tahunan_juta_rupiah,25.586574346754453
status_implementasi_rme_enc,27.62594351640919
status_terhubung_satusehat_enc,16.11287732621339
kelas_rumah_sakit_B,7.8571722813300235
kelas_rumah_sakit_C,17.072205026119086
kelas_rumah_sakit_D,15.353902194143618
kepemilikan_BUMN,1.1792419767071094
kepemilikan_Pemerintah Pusat,1.3640553014011707
kepemilikan_Swasta,2.272552066615663
kepemilikan_TNI/POLRI,1.3291686437046801
region_Bali & Nusa Tenggara,2.0051542086072414
region_Kalimantan,2.4711941184572805
region_Maluku & Papua,2.7932446077248834
region_Sulawesi,2.991174922565733
region_Sumatera,3.1545432846612047
