Feature,Importance
region_Jawa,0.1552442
kepemilikan_Bumn,0.10010167
region_Sumatera,0.0966253
kepemilikan_Tni/Polri,0.09589178
region_Bali & Nusa Tenggara,0.06732325
region_Maluku & Papua,0.061002254
kelas_rumah_sakit_D,0.060483582
region_Sulawesi,0.046767525
region_Kalimantan,0.046529397
jumlah_tenaga_kerja,0.04037909
jumlah_jenis_layanan,0.039681863
kelas_rumah_sakit_C,0.03887095
kepemilikan_Swasta,0.037975777
jumlah_tempat_tidur,0.037780613
kepemilikan_Pemerintah Daerah,0.031089745
kelas_rumah_sakit_B,0.025886636
kepemilikan_Pemerintah Pusat,0.015722634
kelas_rumah_sakit_A,0.0026437303
