fold_index,MLP_RMSE,XGBoost_RMSE,MLP_R2,XGBoost_R2
0,25.940837114227755,21.95101487808661,-0.5010014041663544,-0.07478682304334772
1,16.589362243600004,21.034192564979097,0.25967176771978295,-0.19019088938613127
2,21.837172370765884,22.79725621360216,0.030055486118628627,-0.0571077260966244
3,22.032486014217707,23.688532837917396,0.0314377983337768,-0.1196359560408562
4,22.332308161574232,21.59531221919608,-0.22928278077158093,-0.14948563663876513
5,18.134716774296283,20.917087577929944,0.10875114205857728,-0.1857137644702047
6,25.274594502944993,21.733170425146525,-0.4479927518645439,-0.07064172801681701
7,21.977435803598393,20.843457729561944,-0.27441309121717383,-0.14629319845606314
8,23.98916854973562,20.5362994486158,-0.10762915723570998,0.1882760415142256
9,23.976067178353773,23.477314963245636,-0.10786133124594044,-0.062249078800522106
10,22.55125297438891,21.52339807661491,-0.30992881556463403,-0.1932405903579677
11,23.474001256583648,22.890618251935834,0.08496957106719116,0.1298856423717052
12,25.075111913249504,21.473345969866006,-0.27087108299823304,0.06800157019622843
13,22.788675299979232,20.48369483407035,-0.5548969007338451,-0.2562614443321831
14,20.572328618500034,20.83962738143463,-0.33291897680287597,-0.36778155791534384
15,20.660551199998732,22.49352404661634,-0.03714025026607959,-0.22933057800567536
16,22.81192317462723,24.389736851768113,-0.2186858157387086,-0.3930996560684492
17,22.92581880468013,22.2511051498464,-0.20744575008315524,-0.1374205961071009
18,20.307419033411676,21.85168057605422,0.04189221466569726,-0.10936534580893187
19,25.211732973215643,21.483161543860017,-0.33219471809558243,0.03270554467696529
20,24.34856135955875,22.753826783823936,-0.24479958133821422,-0.08708052897781049
21,22.69253937140117,23.414936743507802,-0.0672740290541114,-0.13630710956588543
22,21.514291557376183,21.275922069895984,-0.49252578552855475,-0.4596358622284811
23,19.773467728079922,21.59075779522203,-0.01907150899348431,-0.2149957310992887
24,25.43130872974068,23.52890694884238,-0.2843493251933955,-0.09938357948316812
25,24.777483640115605,22.240183424460085,-0.38748440984738375,-0.11786779687693394
26,22.127455009597167,25.057150203936867,-0.22236729032112112,-0.5674804751775331
27,19.237483361560052,20.61548495234011,-0.025665795077857823,-0.177867581847986
28,22.64185757008565,24.39281417539742,0.13751149258276052,-0.0010436689428363621
29,22.72623535086352,20.34674124217256,-0.22624107907567237,0.017097170730039135
30,23.863354885399033,22.22188451525333,-0.36992416877301526,-0.18794217301513805
31,20.41969685264875,22.02542799293917,-0.17100178030382196,-0.3624095751098184
32,23.489057631504384,20.782765620519456,-0.08606767544978444,0.1497779170533965
33,26.583578235492425,21.61416752372544,-0.385723027312862,0.0839343799225013
34,21.280598115788422,21.02929652356828,-0.22470693801947839,-0.19595271068819042
35,24.85628334802121,20.084102960705213,-0.27632475478517726,0.1667147607252909
36,21.617639686289262,22.64051470880815,0.11198778067953286,0.02596405116702072
37,23.47402404170049,23.39724326098545,-0.12182924461722777,-0.1145025028147475
38,24.435511943128482,25.153896031661738,-0.6587469834165662,-0.7577122706773396
39,20.653194900045687,18.67347676344709,-0.1731670796749205,0.04096214029284606
40,22.947510167134432,21.88414596499194,-0.21826833936752466,-0.10797770511790605
41,21.368879159551902,24.286734492317894,-0.07145118273068163,-0.3840352533883904
42,21.638785206968684,22.620234352411675,-0.1415120621664434,-0.2474092295058743
43,21.688749974082615,21.487398949269156,-0.17961812212431139,-0.1578174371786687
44,21.620468498111947,22.979462929746703,0.12832912012073017,0.015304201027591224
45,22.403229064736664,21.14913868839214,-0.12044415924624796,0.001485562883224878
46,23.85161373208988,24.013430186775636,-0.03574475450925463,-0.04984602849757924
47,20.15992287337932,23.419831363702542,0.021706501678885548,-0.32025846844778005
48,20.18242482768559,18.599777883145588,-0.066078268172854,0.09456366394878146
49,24.402755294320993,24.461492727003883,-0.5188867702312285,-0.5262074911259726
